time,rain
2020-10-05T23:52:23Z,8
2020-10-05T23:57:21Z,7
2020-10-06T00:02:30Z,7
2020-10-06T00:07:24Z,7
2020-10-06T00:12:19Z,7
2020-10-06T00:17:21Z,7
2020-10-06T00:22:16Z,6
2020-10-06T00:27:16Z,7
2020-10-06T00:32:41Z,6
2020-10-06T00:37:20Z,6
2020-10-06T00:42:21Z,7
2020-10-06T00:47:20Z,6
2020-10-06T00:52:16Z,6
2020-10-06T00:57:19Z,6
2020-10-06T01:02:31Z,6
2020-10-06T01:07:18Z,7
2020-10-06T01:12:15Z,7
2020-10-06T01:17:18Z,7
2020-10-06T01:22:15Z,7
2020-10-06T01:27:18Z,7
2020-10-06T01:32:16Z,7
2020-10-06T01:37:15Z,7
2020-10-06T01:42:13Z,7
2020-10-06T01:47:25Z,7
2020-10-06T01:52:37Z,7
2020-10-06T01:57:25Z,7
2020-10-06T02:02:29Z,7
2020-10-06T02:07:13Z,8
2020-10-06T02:12:30Z,9
2020-10-06T02:17:12Z,8
2020-10-06T02:22:33Z,8
2020-10-06T02:27:17Z,8
2020-10-06T02:32:13Z,8
2020-10-06T02:37:27Z,8
2020-10-06T02:42:19Z,7
2020-10-06T02:47:29Z,7
2020-10-06T02:52:17Z,9
2020-10-06T02:57:27Z,9
2020-10-06T03:02:23Z,9
2020-10-06T03:07:18Z,9
2020-10-06T03:12:26Z,9
2020-10-06T03:17:21Z,9
2020-10-06T03:22:17Z,9
2020-10-06T03:27:18Z,9
2020-10-06T03:32:23Z,16
2020-10-06T03:37:20Z,15
2020-10-06T03:42:16Z,14
2020-10-06T03:47:16Z,13
2020-10-06T03:52:14Z,13
2020-10-06T03:57:12Z,13
2020-10-06T04:02:11Z,13
2020-10-06T04:07:26Z,12
2020-10-06T04:12:21Z,12
2020-10-06T04:17:17Z,12
2020-10-06T04:22:15Z,12
2020-10-06T04:27:08Z,12
2020-10-06T04:32:12Z,10
2020-10-06T04:37:15Z,10
2020-10-06T04:42:16Z,10
2020-10-06T04:47:02Z,11
2020-10-06T04:52:14Z,10
2020-10-06T04:57:14Z,10
2020-10-06T05:02:16Z,10
2020-10-06T05:07:16Z,11
2020-10-06T05:12:07Z,11
2020-10-06T05:17:12Z,13
2020-10-06T05:22:12Z,10
2020-10-06T05:27:23Z,12
2020-10-06T05:32:18Z,12
2020-10-06T05:37:13Z,11
2020-10-06T05:42:14Z,11
2020-10-06T05:47:17Z,12
2020-10-06T05:52:15Z,12
2020-10-06T05:57:15Z,12
2020-10-06T06:02:19Z,12
2020-10-06T06:07:05Z,11
2020-10-06T06:12:08Z,11
2020-10-06T06:17:10Z,11
2020-10-06T06:22:11Z,10
2020-10-06T06:27:15Z,10
2020-10-06T06:32:13Z,10
2020-10-06T06:37:11Z,10
2020-10-06T06:42:06Z,9
2020-10-06T06:47:11Z,10
2020-10-06T06:52:11Z,9
2020-10-06T06:57:07Z,9
2020-10-06T07:02:08Z,9
2020-10-06T07:07:16Z,8
2020-10-06T07:12:05Z,8
